ID;Original_Species;Actual_Species;Abundance
47;Micoureus paraguayanus;Marmosa paraguayana;3
47;Marmosops incanus;Marmosops incanus;36
47;Nectomys squamipes;Nectomys squamipes;21
47;Oligoryzomys nigripes;Oligoryzomys nigripes;1
47;Philander frenatus;Philander frenatus;3
47;Rhipidomys mastacalis;Rhipidomys mastacalis;2
47;Guerlinguetus aestuans;Sciurus aestuans;11
48;Didelphis marsupialis;Didelphis aurita;59
48;Marmosa agilis;Gracilinanus agilis;3
48;Marmosa incana;Marmosops incanus;10
48;Metachirus nudicaudatus;Metachirus nudicaudatus;14
48;Nectomys squamipes;Nectomys squamipes;2
48;Oryzomys trinitatis;Oecomys catherinae;18
48;Oryzomys nigripes;Oligoryzomys nigripes;1
48;Philander opossum;Philander frenatus;2
48;Proechimys setosus;Trinomys setosus;10
49;Akodon cursor;Akodon cursor;1
49;Didelphis aurita;Didelphis aurita;12
49;Gracilinanus microtarsus;Gracilinanus microtarsus;1
49;Marmosa paraguayana;Marmosa paraguayana;11
49;Marmosops incanus;Marmosops incanus;4
49;Monodelphis americana;Monodelphis americana;1
49;Nectomys squamipes;Nectomys squamipes;1
49;Philander frenatus;Philander frenatus;3
49;Trinomys paratus;Trinomys paratus;8
50;Akodon cursor;Akodon cursor;1
50;Caluromys philander;Caluromys philander;1
50;Didelphis aurita;Didelphis aurita;94
50;Euryoryzomys russatus;Euryoryzomys russatus;14
50;Gracilinanus microtarsus;Gracilinanus microtarsus;1
50;Marmosa murina;Marmosa murina;3
50;Micoureus paraguayanus;Marmosa paraguayana;6
50;Marmosops incanus;Marmosops incanus;43
50;Metachirus nudicaudatus;Metachirus nudicaudatus;44
50;Nectomys squamipes;Nectomys squamipes;6
50;Oxymycterus sp.;Oxymycterus sp.;1
50;Philander frenatus;Philander frenatus;9
50;Phyllomys pattoni;Phyllomys pattoni;1
50;Guerlinguetus ingrami;Sciurus aestuans;9
50;Trinomys paratus;Trinomys paratus;146
51;Akodon cursor;Akodon cursor;3
51;Didelphis aurita;Didelphis aurita;1
51;Oryzomys russatus;Euryoryzomys russatus;1
51;Marmosa murina;Marmosa murina;1
51;Micoureus demerarae;Marmosa paraguayana;2
51;Marmosops incanus;Marmosops incanus;2
51;Metachirus nudicaudatus;Metachirus nudicaudatus;9
51;Monodelphis americana;Monodelphis americana;5
51;Monodelphis domestica;Monodelphis domestica;1
51;Nectomys squamipes;Nectomys squamipes;7
51;Oecomys sp.;Oecomys catherinae;1
51;Oligoryzomys nigripes;Oligoryzomys nigripes;4
51;Rhipidomys mastacalis;Rhipidomys mastacalis;1
51;Trinomys iheringi;Trinomys iheringi;1
52;Akodon cursor;Akodon cursor;5
52;Didelphis aurita;Didelphis aurita;5
52;Gracilinanus microtarsus;Gracilinanus microtarsus;10
52;Juliomys pictipes;Juliomys pictipes;2
